date,value
"2020-03-29",-25
"2020-03-28",-20
"2020-03-27",-18
"2020-03-26",-15
"2020-03-25",-15
"2020-03-24",-17
"2020-03-23",-12
"2020-03-22",-16
"2020-03-21",-1
"2020-03-20",1
"2020-03-19",0
"2020-03-18",-2
"2020-03-17",-1
"2020-03-16",-2
"2020-03-15",-4
"2020-03-14",-3
"2020-03-13",0
"2020-03-12",1
"2020-03-11",-1
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",1
"2020-03-07",0
"2020-03-06",-1
"2020-03-05",1
"2020-03-04",2
"2020-03-03",-1
"2020-03-02",-2
"2020-03-01",-2
"2020-02-29",-4
"2020-02-28",-4
"2020-02-27",-3
"2020-02-26",-2
"2020-02-25",-3
"2020-02-24",-4
"2020-02-23",-7
"2020-02-22",-17
"2020-02-21",-27
"2020-02-20",-1
"2020-02-19",-3
"2020-02-18",-2
"2020-02-17",0
"2020-02-16",2
