date,value
"2020-03-29",-21
"2020-03-28",-12
"2020-03-27",-15
"2020-03-26",-9
"2020-03-25",-10
"2020-03-24",-9
"2020-03-23",-10
"2020-03-22",-19
"2020-03-21",-9
"2020-03-20",0
"2020-03-19",6
"2020-03-18",8
"2020-03-17",9
"2020-03-16",8
"2020-03-15",6
"2020-03-14",6
"2020-03-13",4
"2020-03-12",6
"2020-03-11",6
"2020-03-10",9
"2020-03-09",7
"2020-03-08",7
"2020-03-07",8
"2020-03-06",3
"2020-03-05",4
"2020-03-04",8
"2020-03-03",7
"2020-03-02",5
"2020-03-01",4
"2020-02-29",4
"2020-02-28",3
"2020-02-27",3
"2020-02-26",3
"2020-02-25",-1
"2020-02-24",1
"2020-02-23",-6
"2020-02-22",-12
"2020-02-21",-12
"2020-02-20",-5
"2020-02-19",-12
"2020-02-18",-9
"2020-02-17",-6
"2020-02-16",-2
