date,value
"2020-03-29",16
"2020-03-28",16
"2020-03-27",17
"2020-03-26",17
"2020-03-25",17
"2020-03-24",16
"2020-03-23",14
"2020-03-22",13
"2020-03-21",10
"2020-03-20",6
"2020-03-19",4
"2020-03-18",4
"2020-03-17",2
"2020-03-16",2
"2020-03-15",2
"2020-03-14",2
"2020-03-13",1
"2020-03-12",2
"2020-03-11",2
"2020-03-10",2
"2020-03-09",2
"2020-03-08",1
"2020-03-07",2
"2020-03-06",3
"2020-03-05",3
"2020-03-04",2
"2020-03-03",3
"2020-03-02",3
"2020-03-01",2
"2020-02-29",2
"2020-02-28",2
"2020-02-27",3
"2020-02-26",3
"2020-02-25",2
"2020-02-24",2
"2020-02-23",3
"2020-02-22",7
"2020-02-21",13
"2020-02-20",0
"2020-02-19",1
"2020-02-18",1
"2020-02-17",1
"2020-02-16",1
