date,value
"2020-03-29",-8
"2020-03-28",-8
"2020-03-27",-9
"2020-03-26",-11
"2020-03-25",-19
"2020-03-24",-21
"2020-03-23",-21
"2020-03-22",-11
"2020-03-21",-17
"2020-03-20",-2
"2020-03-19",1
"2020-03-18",-1
"2020-03-17",-1
"2020-03-16",1
"2020-03-15",2
"2020-03-14",2
"2020-03-13",2
"2020-03-12",1
"2020-03-11",-1
"2020-03-10",-2
"2020-03-09",-6
"2020-03-08",0
"2020-03-07",6
"2020-03-06",6
"2020-03-05",5
"2020-03-04",0
"2020-03-03",1
"2020-03-02",3
"2020-03-01",3
"2020-02-29",1
"2020-02-28",1
"2020-02-27",-4
"2020-02-26",-7
"2020-02-25",-2
"2020-02-24",1
"2020-02-23",2
"2020-02-22",9
"2020-02-21",5
"2020-02-20",5
"2020-02-19",3
"2020-02-18",-3
"2020-02-17",-7
"2020-02-16",2
