date,value
"2020-03-29",-17
"2020-03-28",-17
"2020-03-27",-16
"2020-03-26",-19
"2020-03-25",-24
"2020-03-24",-25
"2020-03-23",-26
"2020-03-22",-14
"2020-03-21",-12
"2020-03-20",-3
"2020-03-19",-1
"2020-03-18",1
"2020-03-17",5
"2020-03-16",8
"2020-03-15",6
"2020-03-14",8
"2020-03-13",7
"2020-03-12",5
"2020-03-11",2
"2020-03-10",1
"2020-03-09",-5
"2020-03-08",-2
"2020-03-07",5
"2020-03-06",5
"2020-03-05",5
"2020-03-04",2
"2020-03-03",3
"2020-03-02",3
"2020-03-01",4
"2020-02-29",6
"2020-02-28",4
"2020-02-27",1
"2020-02-26",-2
"2020-02-25",-1
"2020-02-24",1
"2020-02-23",2
"2020-02-22",6
"2020-02-21",5
"2020-02-20",4
"2020-02-19",3
"2020-02-18",-1
"2020-02-17",-3
"2020-02-16",1
