date,value
"2020-04-05",6
"2020-04-04",15
"2020-04-03",15
"2020-04-02",13
"2020-04-01",10
"2020-03-31",9
"2020-03-30",10
"2020-03-29",10
"2020-03-28",13
"2020-03-27",9
"2020-03-26",-8
"2020-03-25",-24
"2020-03-24",-30
"2020-03-23",-32
"2020-03-22",-9
"2020-03-21",-22
"2020-03-20",2
"2020-03-19",15
"2020-03-18",19
"2020-03-17",19
"2020-03-16",19
"2020-03-15",13
"2020-03-14",17
"2020-03-13",22
"2020-03-12",22
"2020-03-11",22
"2020-03-10",20
"2020-03-09",-7
"2020-03-08",-10
"2020-03-07",12
"2020-03-06",21
"2020-03-05",22
"2020-03-04",20
"2020-03-03",21
"2020-03-02",19
"2020-03-01",12
"2020-02-29",9
"2020-02-28",18
"2020-02-27",17
"2020-02-26",16
"2020-02-25",17
"2020-02-24",17
"2020-02-23",13
"2020-02-22",7
"2020-02-21",17
"2020-02-20",17
"2020-02-19",17
"2020-02-18",17
"2020-02-17",14
"2020-02-16",15
