date,value
"2020-04-05",19
"2020-04-04",23
"2020-04-03",25
"2020-04-02",23
"2020-04-01",22
"2020-03-31",21
"2020-03-30",21
"2020-03-29",17
"2020-03-28",20
"2020-03-27",22
"2020-03-26",19
"2020-03-25",19
"2020-03-24",18
"2020-03-23",17
"2020-03-22",14
"2020-03-21",14
"2020-03-20",16
"2020-03-19",13
"2020-03-18",11
"2020-03-17",8
"2020-03-16",6
"2020-03-15",3
"2020-03-14",2
"2020-03-13",0
"2020-03-12",-1
"2020-03-11",-2
"2020-03-10",-2
"2020-03-09",-2
"2020-03-08",-3
"2020-03-07",-3
"2020-03-06",-2
"2020-03-05",-2
"2020-03-04",-2
"2020-03-03",-2
"2020-03-02",-3
"2020-03-01",-1
"2020-02-29",1
"2020-02-28",1
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",-2
"2020-02-24",-2
"2020-02-23",-1
"2020-02-22",0
"2020-02-21",1
"2020-02-20",0
"2020-02-19",-1
"2020-02-18",-2
"2020-02-17",-2
"2020-02-16",-1
