date,value
"2020-04-11",6
"2020-04-10",3
"2020-04-09",0
"2020-04-08",3
"2020-04-07",4
"2020-04-06",5
"2020-04-05",6
"2020-04-04",7
"2020-04-03",16
"2020-04-02",11
"2020-04-01",2
"2020-03-31",2
"2020-03-30",3
"2020-03-29",4
"2020-03-28",7
"2020-03-27",3
"2020-03-26",-1
"2020-03-25",2
"2020-03-24",2
"2020-03-23",3
"2020-03-22",3
"2020-03-21",3
"2020-03-20",2
"2020-03-19",0
"2020-03-18",2
"2020-03-17",2
"2020-03-16",2
"2020-03-15",2
"2020-03-14",4
"2020-03-13",4
"2020-03-12",0
"2020-03-11",0
"2020-03-10",3
"2020-03-09",3
"2020-03-08",2
"2020-03-07",2
"2020-03-06",2
"2020-03-05",1
"2020-03-04",1
"2020-03-03",2
"2020-03-02",2
"2020-03-01",2
"2020-02-29",2
"2020-02-28",6
"2020-02-27",8
"2020-02-26",-2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",4
"2020-02-22",2
"2020-02-21",3
"2020-02-20",4
"2020-02-19",2
"2020-02-18",4
"2020-02-17",5
"2020-02-16",6
