date,value
"2020-04-05",-12
"2020-04-04",-5
"2020-04-03",-6
"2020-04-02",-1
"2020-04-01",-1
"2020-03-31",-1
"2020-03-30",-3
"2020-03-29",-8
"2020-03-28",-3
"2020-03-27",-3
"2020-03-26",5
"2020-03-25",1
"2020-03-24",-2
"2020-03-23",-3
"2020-03-22",-10
"2020-03-21",-5
"2020-03-20",-3
"2020-03-19",3
"2020-03-18",7
"2020-03-17",8
"2020-03-16",6
"2020-03-15",0
"2020-03-14",-2
"2020-03-13",-2
"2020-03-12",1
"2020-03-11",3
"2020-03-10",2
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",1
"2020-03-06",0
"2020-03-05",2
"2020-03-04",2
"2020-03-03",-1
"2020-03-02",1
"2020-03-01",0
"2020-02-29",1
"2020-02-28",2
"2020-02-27",0
"2020-02-26",2
"2020-02-25",-2
"2020-02-24",-3
"2020-02-23",-6
"2020-02-22",-15
"2020-02-21",-7
"2020-02-20",-7
"2020-02-19",0
"2020-02-18",-2
"2020-02-17",-1
"2020-02-16",-4
