date,value
"2020-03-29",-36
"2020-03-28",-27
"2020-03-27",-33
"2020-03-26",-19
"2020-03-25",-17
"2020-03-24",-2
"2020-03-23",-4
"2020-03-22",-1
"2020-03-21",2
"2020-03-20",6
"2020-03-19",9
"2020-03-18",4
"2020-03-17",3
"2020-03-16",-5
"2020-03-15",-2
"2020-03-14",4
"2020-03-13",4
"2020-03-12",2
"2020-03-11",1
"2020-03-10",2
"2020-03-09",1
"2020-03-08",2
"2020-03-07",5
"2020-03-06",5
"2020-03-05",4
"2020-03-04",1
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",1
"2020-02-29",3
"2020-02-28",2
"2020-02-27",0
"2020-02-26",-1
"2020-02-25",-3
"2020-02-24",-2
"2020-02-23",-3
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",-2
"2020-02-19",-4
"2020-02-18",-5
"2020-02-17",-2
"2020-02-16",-1
