date,value
"2020-04-05",-20
"2020-04-04",-19
"2020-04-03",-20
"2020-04-02",-16
"2020-04-01",-19
"2020-03-31",-18
"2020-03-30",-10
"2020-03-29",-16
"2020-03-28",-12
"2020-03-27",-16
"2020-03-26",-8
"2020-03-25",-12
"2020-03-24",-10
"2020-03-23",-8
"2020-03-22",-11
"2020-03-21",-11
"2020-03-20",-8
"2020-03-19",-4
"2020-03-18",-7
"2020-03-17",-8
"2020-03-16",-8
"2020-03-15",-9
"2020-03-14",-7
"2020-03-13",-5
"2020-03-12",-2
"2020-03-11",-3
"2020-03-10",-4
"2020-03-09",-5
"2020-03-08",-6
"2020-03-07",-4
"2020-03-06",-3
"2020-03-05",-5
"2020-03-04",-6
"2020-03-03",-7
"2020-03-02",-6
"2020-03-01",-6
"2020-02-29",-6
"2020-02-28",-6
"2020-02-27",-8
"2020-02-26",-7
"2020-02-25",-7
"2020-02-24",-5
"2020-02-23",-5
"2020-02-22",-7
"2020-02-21",-4
"2020-02-20",-8
"2020-02-19",-2
"2020-02-18",-6
"2020-02-17",-5
"2020-02-16",-4
