date,value
"2020-04-11",36
"2020-04-10",28
"2020-04-09",19
"2020-04-08",7
"2020-04-07",1
"2020-04-06",1
"2020-04-05",29
"2020-04-04",21
"2020-04-03",3
"2020-04-02",-3
"2020-04-01",3
"2020-03-31",14
"2020-03-30",15
"2020-03-29",18
"2020-03-28",12
"2020-03-27",2
"2020-03-26",29
"2020-03-25",8
"2020-03-24",16
"2020-03-23",23
"2020-03-22",58
"2020-03-21",13
"2020-03-20",19
"2020-03-19",17
"2020-03-18",8
"2020-03-17",10
"2020-03-16",24
"2020-03-15",48
"2020-03-14",44
"2020-03-13",24
"2020-03-12",19
"2020-03-11",18
"2020-03-10",13
"2020-03-09",12
"2020-03-08",24
"2020-03-07",26
"2020-03-06",14
"2020-03-05",9
"2020-03-04",6
"2020-03-03",1
"2020-03-02",0
"2020-03-01",5
"2020-02-29",7
"2020-02-28",10
"2020-02-27",13
"2020-02-26",11
"2020-02-25",5
"2020-02-24",2
"2020-02-23",9
"2020-02-22",16
"2020-02-21",11
"2020-02-20",1
"2020-02-19",5
"2020-02-18",1
"2020-02-17",2
"2020-02-16",10
