date,value
"2020-04-11",-35
"2020-04-10",-37
"2020-04-09",-32
"2020-04-08",-30
"2020-04-07",-31
"2020-04-06",-29
"2020-04-05",-40
"2020-04-04",-33
"2020-04-03",-29
"2020-04-02",-25
"2020-04-01",-20
"2020-03-31",-25
"2020-03-30",-25
"2020-03-29",-30
"2020-03-28",-25
"2020-03-27",-24
"2020-03-26",-20
"2020-03-25",-16
"2020-03-24",-18
"2020-03-23",-21
"2020-03-22",-22
"2020-03-21",-15
"2020-03-20",-14
"2020-03-19",-9
"2020-03-18",-4
"2020-03-17",-2
"2020-03-16",1
"2020-03-15",5
"2020-03-14",10
"2020-03-13",9
"2020-03-12",8
"2020-03-11",7
"2020-03-10",5
"2020-03-09",7
"2020-03-08",15
"2020-03-07",19
"2020-03-06",14
"2020-03-05",7
"2020-03-04",3
"2020-03-03",3
"2020-03-02",5
"2020-03-01",10
"2020-02-29",21
"2020-02-28",17
"2020-02-27",10
"2020-02-26",9
"2020-02-25",10
"2020-02-24",6
"2020-02-23",4
"2020-02-22",16
"2020-02-21",13
"2020-02-20",8
"2020-02-19",0
"2020-02-18",4
"2020-02-17",-1
"2020-02-16",7
