date,value
"2020-03-29",-7
"2020-03-28",-14
"2020-03-27",-7
"2020-03-26",-4
"2020-03-25",-5
"2020-03-24",-8
"2020-03-23",-7
"2020-03-22",-10
"2020-03-21",0
"2020-03-20",10
"2020-03-19",11
"2020-03-18",9
"2020-03-17",9
"2020-03-16",12
"2020-03-15",14
"2020-03-14",12
"2020-03-13",20
"2020-03-12",30
"2020-03-11",22
"2020-03-10",12
"2020-03-09",7
"2020-03-08",8
"2020-03-07",11
"2020-03-06",9
"2020-03-05",10
"2020-03-04",11
"2020-03-03",12
"2020-03-02",12
"2020-03-01",9
"2020-02-29",12
"2020-02-28",10
"2020-02-27",9
"2020-02-26",7
"2020-02-25",4
"2020-02-24",1
"2020-02-23",-1
"2020-02-22",-1
"2020-02-21",2
"2020-02-20",0
"2020-02-19",0
"2020-02-18",1
"2020-02-17",-4
"2020-02-16",-2
