date,value
"2020-04-11",14
"2020-04-10",20
"2020-04-09",18
"2020-04-08",18
"2020-04-07",18
"2020-04-06",17
"2020-04-05",11
"2020-04-04",13
"2020-04-03",19
"2020-04-02",18
"2020-04-01",17
"2020-03-31",16
"2020-03-30",15
"2020-03-29",10
"2020-03-28",12
"2020-03-27",18
"2020-03-26",16
"2020-03-25",15
"2020-03-24",15
"2020-03-23",14
"2020-03-22",9
"2020-03-21",10
"2020-03-20",13
"2020-03-19",13
"2020-03-18",12
"2020-03-17",9
"2020-03-16",6
"2020-03-15",2
"2020-03-14",1
"2020-03-13",3
"2020-03-12",4
"2020-03-11",3
"2020-03-10",2
"2020-03-09",1
"2020-03-08",-1
"2020-03-07",-2
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",2
"2020-02-20",0
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",5
