date,value
"2020-04-11",-11
"2020-04-10",-14
"2020-04-09",-16
"2020-04-08",-17
"2020-04-07",-17
"2020-04-06",-18
"2020-04-05",-21
"2020-04-04",-21
"2020-04-03",-20
"2020-04-02",-23
"2020-04-01",-17
"2020-03-31",-17
"2020-03-30",-22
"2020-03-29",-27
"2020-03-28",-28
"2020-03-27",-26
"2020-03-26",-24
"2020-03-25",-9
"2020-03-24",-8
"2020-03-23",-4
"2020-03-22",-9
"2020-03-21",-6
"2020-03-20",-4
"2020-03-19",-10
"2020-03-18",4
"2020-03-17",12
"2020-03-16",20
"2020-03-15",15
"2020-03-14",16
"2020-03-13",24
"2020-03-12",27
"2020-03-11",20
"2020-03-10",13
"2020-03-09",11
"2020-03-08",12
"2020-03-07",13
"2020-03-06",11
"2020-03-05",10
"2020-03-04",9
"2020-03-03",10
"2020-03-02",9
"2020-03-01",6
"2020-02-29",9
"2020-02-28",7
"2020-02-27",7
"2020-02-26",6
"2020-02-25",3
"2020-02-24",-3
"2020-02-23",0
"2020-02-22",-1
"2020-02-21",6
"2020-02-20",3
"2020-02-19",1
"2020-02-18",-4
"2020-02-17",-4
"2020-02-16",2
