date,value
"2020-04-11",14
"2020-04-10",23
"2020-04-09",22
"2020-04-08",21
"2020-04-07",21
"2020-04-06",19
"2020-04-05",12
"2020-04-04",16
"2020-04-03",24
"2020-04-02",24
"2020-04-01",21
"2020-03-31",20
"2020-03-30",19
"2020-03-29",13
"2020-03-28",17
"2020-03-27",24
"2020-03-26",22
"2020-03-25",19
"2020-03-24",18
"2020-03-23",16
"2020-03-22",11
"2020-03-21",13
"2020-03-20",20
"2020-03-19",22
"2020-03-18",16
"2020-03-17",13
"2020-03-16",9
"2020-03-15",5
"2020-03-14",5
"2020-03-13",5
"2020-03-12",2
"2020-03-11",0
"2020-03-10",0
"2020-03-09",-1
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",1
"2020-02-23",0
"2020-02-22",2
"2020-02-21",-1
"2020-02-20",-1
"2020-02-19",1
"2020-02-18",2
"2020-02-17",3
"2020-02-16",5
