date,value
"2020-04-11",76
"2020-04-10",-8
"2020-04-09",-32
"2020-04-08",-4
"2020-04-07",38
"2020-04-06",58
"2020-04-05",23
"2020-04-04",86
"2020-04-03",-29
"2020-04-02",-5
"2020-04-01",25
"2020-03-31",10
"2020-03-30",-5
"2020-03-29",-52
"2020-03-28",27
"2020-03-27",54
"2020-03-26",55
"2020-03-25",-14
"2020-03-24",13
"2020-03-23",-37
"2020-03-22",15
"2020-03-21",87
"2020-03-20",30
"2020-03-19",-7
"2020-03-18",32
"2020-03-17",6
"2020-03-16",9
"2020-03-15",43
"2020-03-14",82
"2020-03-13",39
"2020-03-12",8
"2020-03-11",22
"2020-03-10",26
"2020-03-09",62
"2020-03-08",74
"2020-03-07",52
"2020-03-06",27
"2020-03-05",14
"2020-03-04",26
"2020-03-03",21
"2020-03-02",23
"2020-03-01",19
"2020-02-29",9
"2020-02-28",19
"2020-02-27",2
"2020-02-26",4
"2020-02-25",3
"2020-02-24",13
"2020-02-23",49
"2020-02-22",66
"2020-02-21",63
"2020-02-20",-2
"2020-02-19",4
"2020-02-18",10
"2020-02-17",-12
"2020-02-16",31
