date,value
"2020-04-11",-44
"2020-04-10",-45
"2020-04-09",-48
"2020-04-08",-46
"2020-04-07",-42
"2020-04-06",-40
"2020-04-05",-50
"2020-04-04",-47
"2020-04-03",-46
"2020-04-02",-44
"2020-04-01",-40
"2020-03-31",-42
"2020-03-30",-43
"2020-03-29",-56
"2020-03-28",-49
"2020-03-27",-42
"2020-03-26",-41
"2020-03-25",-46
"2020-03-24",-43
"2020-03-23",-47
"2020-03-22",-44
"2020-03-21",-39
"2020-03-20",-33
"2020-03-19",-33
"2020-03-18",-28
"2020-03-17",-27
"2020-03-16",-13
"2020-03-15",-11
"2020-03-14",-9
"2020-03-13",-5
"2020-03-12",2
"2020-03-11",5
"2020-03-10",4
"2020-03-09",6
"2020-03-08",8
"2020-03-07",9
"2020-03-06",6
"2020-03-05",4
"2020-03-04",7
"2020-03-03",6
"2020-03-02",7
"2020-03-01",8
"2020-02-29",10
"2020-02-28",7
"2020-02-27",3
"2020-02-26",4
"2020-02-25",4
"2020-02-24",2
"2020-02-23",5
"2020-02-22",9
"2020-02-21",8
"2020-02-20",1
"2020-02-19",2
"2020-02-18",2
"2020-02-17",0
"2020-02-16",11
