date,value
"2020-04-11",-48
"2020-04-10",-58
"2020-04-09",-53
"2020-04-08",-45
"2020-04-07",-48
"2020-04-06",-46
"2020-04-05",-56
"2020-04-04",-50
"2020-04-03",-52
"2020-04-02",-47
"2020-04-01",-44
"2020-03-31",-49
"2020-03-30",-47
"2020-03-29",-57
"2020-03-28",-55
"2020-03-27",-49
"2020-03-26",-41
"2020-03-25",-49
"2020-03-24",-47
"2020-03-23",-49
"2020-03-22",-52
"2020-03-21",-40
"2020-03-20",-37
"2020-03-19",-39
"2020-03-18",-28
"2020-03-17",-22
"2020-03-16",-17
"2020-03-15",-16
"2020-03-14",-8
"2020-03-13",-7
"2020-03-12",-3
"2020-03-11",1
"2020-03-10",2
"2020-03-09",3
"2020-03-08",9
"2020-03-07",15
"2020-03-06",7
"2020-03-05",3
"2020-03-04",8
"2020-03-03",6
"2020-03-02",4
"2020-03-01",3
"2020-02-29",4
"2020-02-28",7
"2020-02-27",1
"2020-02-26",2
"2020-02-25",2
"2020-02-24",-2
"2020-02-23",4
"2020-02-22",12
"2020-02-21",14
"2020-02-20",2
"2020-02-19",6
"2020-02-18",6
"2020-02-17",7
"2020-02-16",6
