date,value
"2020-04-11",-40
"2020-04-10",-53
"2020-04-09",-50
"2020-04-08",-49
"2020-04-07",-49
"2020-04-06",-48
"2020-04-05",-45
"2020-04-04",-41
"2020-04-03",-47
"2020-04-02",-46
"2020-04-01",-45
"2020-03-31",-45
"2020-03-30",-44
"2020-03-29",-41
"2020-03-28",-36
"2020-03-27",-42
"2020-03-26",-42
"2020-03-25",-41
"2020-03-24",-39
"2020-03-23",-37
"2020-03-22",-33
"2020-03-21",-27
"2020-03-20",-30
"2020-03-19",-29
"2020-03-18",-27
"2020-03-17",-23
"2020-03-16",-19
"2020-03-15",-10
"2020-03-14",-3
"2020-03-13",-4
"2020-03-12",-3
"2020-03-11",-1
"2020-03-10",0
"2020-03-09",0
"2020-03-08",0
"2020-03-07",1
"2020-03-06",2
"2020-03-05",1
"2020-03-04",1
"2020-03-03",2
"2020-03-02",2
"2020-03-01",1
"2020-02-29",1
"2020-02-28",2
"2020-02-27",1
"2020-02-26",1
"2020-02-25",1
"2020-02-24",2
"2020-02-23",2
"2020-02-22",1
"2020-02-21",1
"2020-02-20",1
"2020-02-19",1
"2020-02-18",2
"2020-02-17",0
"2020-02-16",-18
