date,value
"2020-04-11",3
"2020-04-10",12
"2020-04-09",-9
"2020-04-08",-6
"2020-04-07",-17
"2020-04-06",-4
"2020-04-05",-13
"2020-04-04",-18
"2020-04-03",3
"2020-04-02",-14
"2020-04-01",-6
"2020-03-31",-33
"2020-03-30",-3
"2020-03-29",-2
"2020-03-28",14
"2020-03-27",32
"2020-03-26",5
"2020-03-25",18
"2020-03-24",-18
"2020-03-23",-37
"2020-03-22",-21
"2020-03-21",24
"2020-03-20",44
"2020-03-19",32
"2020-03-18",24
"2020-03-17",15
"2020-03-16",0
"2020-03-15",0
"2020-03-14",34
"2020-03-13",43
"2020-03-12",29
"2020-03-11",32
"2020-03-10",27
"2020-03-09",37
"2020-03-08",55
"2020-03-07",68
"2020-03-06",62
"2020-03-05",11
"2020-03-04",-25
"2020-03-03",-11
"2020-03-02",-4
"2020-03-01",11
"2020-02-29",46
"2020-02-28",37
"2020-02-27",23
"2020-02-26",6
"2020-02-25",6
"2020-02-24",3
"2020-02-23",-13
"2020-02-22",25
"2020-02-21",44
"2020-02-20",16
"2020-02-19",-32
"2020-02-18",0
"2020-02-17",-21
"2020-02-16",23
