date,value
"2020-04-11",13
"2020-04-10",22
"2020-04-09",21
"2020-04-08",20
"2020-04-07",21
"2020-04-06",19
"2020-04-05",13
"2020-04-04",15
"2020-04-03",20
"2020-04-02",19
"2020-04-01",18
"2020-03-31",20
"2020-03-30",17
"2020-03-29",11
"2020-03-28",12
"2020-03-27",17
"2020-03-26",18
"2020-03-25",17
"2020-03-24",18
"2020-03-23",17
"2020-03-22",11
"2020-03-21",9
"2020-03-20",12
"2020-03-19",13
"2020-03-18",12
"2020-03-17",11
"2020-03-16",8
"2020-03-15",5
"2020-03-14",2
"2020-03-13",1
"2020-03-12",1
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-2
"2020-03-06",-2
"2020-03-05",0
"2020-03-04",2
"2020-03-03",1
"2020-03-02",0
"2020-03-01",-1
"2020-02-29",-2
"2020-02-28",-2
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",1
"2020-02-23",1
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",1
"2020-02-19",3
"2020-02-18",1
"2020-02-17",3
"2020-02-16",4
