date,value
"2020-04-11",-40
"2020-04-10",-37
"2020-04-09",-37
"2020-04-08",-39
"2020-04-07",-40
"2020-04-06",-40
"2020-04-05",-50
"2020-04-04",-50
"2020-04-03",-37
"2020-04-02",-29
"2020-04-01",-30
"2020-03-31",-36
"2020-03-30",-34
"2020-03-29",-42
"2020-03-28",-39
"2020-03-27",-35
"2020-03-26",-34
"2020-03-25",-33
"2020-03-24",-35
"2020-03-23",-35
"2020-03-22",-39
"2020-03-21",-33
"2020-03-20",-26
"2020-03-19",-21
"2020-03-18",-19
"2020-03-17",-15
"2020-03-16",-10
"2020-03-15",-11
"2020-03-14",-7
"2020-03-13",0
"2020-03-12",6
"2020-03-11",7
"2020-03-10",6
"2020-03-09",6
"2020-03-08",7
"2020-03-07",9
"2020-03-06",9
"2020-03-05",4
"2020-03-04",2
"2020-03-03",6
"2020-03-02",8
"2020-03-01",7
"2020-02-29",13
"2020-02-28",11
"2020-02-27",9
"2020-02-26",9
"2020-02-25",8
"2020-02-24",3
"2020-02-23",-4
"2020-02-22",3
"2020-02-21",4
"2020-02-20",1
"2020-02-19",-6
"2020-02-18",1
"2020-02-17",-4
"2020-02-16",3
