date,value
"2020-04-11",-53
"2020-04-10",-53
"2020-04-09",-51
"2020-04-08",-49
"2020-04-07",-50
"2020-04-06",-52
"2020-04-05",-59
"2020-04-04",-54
"2020-04-03",-51
"2020-04-02",-46
"2020-04-01",-44
"2020-03-31",-46
"2020-03-30",-47
"2020-03-29",-52
"2020-03-28",-43
"2020-03-27",-44
"2020-03-26",-43
"2020-03-25",-40
"2020-03-24",-40
"2020-03-23",-43
"2020-03-22",-42
"2020-03-21",-30
"2020-03-20",-30
"2020-03-19",-29
"2020-03-18",-25
"2020-03-17",-22
"2020-03-16",-20
"2020-03-15",-15
"2020-03-14",-7
"2020-03-13",-4
"2020-03-12",-3
"2020-03-11",-1
"2020-03-10",-2
"2020-03-09",-1
"2020-03-08",2
"2020-03-07",6
"2020-03-06",7
"2020-03-05",2
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",3
"2020-02-29",10
"2020-02-28",11
"2020-02-27",7
"2020-02-26",6
"2020-02-25",3
"2020-02-24",0
"2020-02-23",-1
"2020-02-22",4
"2020-02-21",4
"2020-02-20",4
"2020-02-19",0
"2020-02-18",3
"2020-02-17",1
"2020-02-16",0
