date,value
"2020-04-11",-29
"2020-04-10",-29
"2020-04-09",-27
"2020-04-08",-30
"2020-04-07",-27
"2020-04-06",-26
"2020-04-05",-26
"2020-04-04",-29
"2020-04-03",-23
"2020-04-02",-27
"2020-04-01",-30
"2020-03-31",-31
"2020-03-30",-31
"2020-03-29",-36
"2020-03-28",-36
"2020-03-27",-32
"2020-03-26",-32
"2020-03-25",-31
"2020-03-24",-23
"2020-03-23",-16
"2020-03-22",-16
"2020-03-21",-14
"2020-03-20",-7
"2020-03-19",-2
"2020-03-18",-1
"2020-03-17",0
"2020-03-16",5
"2020-03-15",6
"2020-03-14",6
"2020-03-13",8
"2020-03-12",7
"2020-03-11",3
"2020-03-10",0
"2020-03-09",1
"2020-03-08",2
"2020-03-07",3
"2020-03-06",2
"2020-03-05",3
"2020-03-04",4
"2020-03-03",3
"2020-03-02",3
"2020-03-01",1
"2020-02-29",2
"2020-02-28",1
"2020-02-27",2
"2020-02-26",3
"2020-02-25",2
"2020-02-24",0
"2020-02-23",-1
"2020-02-22",0
"2020-02-21",1
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",-2
"2020-02-17",-2
"2020-02-16",-4
