date,value
"2020-04-11",18
"2020-04-10",27
"2020-04-09",24
"2020-04-08",23
"2020-04-07",23
"2020-04-06",22
"2020-04-05",16
"2020-04-04",18
"2020-04-03",24
"2020-04-02",23
"2020-04-01",23
"2020-03-31",23
"2020-03-30",21
"2020-03-29",16
"2020-03-28",18
"2020-03-27",25
"2020-03-26",25
"2020-03-25",23
"2020-03-24",21
"2020-03-23",17
"2020-03-22",12
"2020-03-21",12
"2020-03-20",15
"2020-03-19",14
"2020-03-18",12
"2020-03-17",12
"2020-03-16",8
"2020-03-15",4
"2020-03-14",2
"2020-03-13",2
"2020-03-12",2
"2020-03-11",1
"2020-03-10",1
"2020-03-09",1
"2020-03-08",1
"2020-03-07",0
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",0
"2020-03-01",0
"2020-02-29",1
"2020-02-28",0
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",0
"2020-02-19",0
"2020-02-18",1
"2020-02-17",1
"2020-02-16",11
