date,value
"2020-04-11",-74
"2020-04-10",-72
"2020-04-09",-70
"2020-04-08",-68
"2020-04-07",-67
"2020-04-06",-68
"2020-04-05",-76
"2020-04-04",-73
"2020-04-03",-68
"2020-04-02",-69
"2020-04-01",-66
"2020-03-31",-65
"2020-03-30",-64
"2020-03-29",-72
"2020-03-28",-70
"2020-03-27",-66
"2020-03-26",-66
"2020-03-25",-57
"2020-03-24",-51
"2020-03-23",-45
"2020-03-22",-43
"2020-03-21",-41
"2020-03-20",-35
"2020-03-19",-32
"2020-03-18",-28
"2020-03-17",-23
"2020-03-16",-17
"2020-03-15",-13
"2020-03-14",-10
"2020-03-13",-8
"2020-03-12",-8
"2020-03-11",-7
"2020-03-10",-5
"2020-03-09",-4
"2020-03-08",-3
"2020-03-07",-3
"2020-03-06",-4
"2020-03-05",-4
"2020-03-04",-5
"2020-03-03",-5
"2020-03-02",-3
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",2
"2020-02-23",4
"2020-02-22",2
"2020-02-21",0
"2020-02-20",2
"2020-02-19",2
"2020-02-18",2
"2020-02-17",6
"2020-02-16",-1
