date,value
"2020-04-11",-47
"2020-04-10",-57
"2020-04-09",-51
"2020-04-08",-51
"2020-04-07",-51
"2020-04-06",-49
"2020-04-05",-46
"2020-04-04",-45
"2020-04-03",-47
"2020-04-02",-49
"2020-04-01",-49
"2020-03-31",-49
"2020-03-30",-47
"2020-03-29",-45
"2020-03-28",-43
"2020-03-27",-46
"2020-03-26",-53
"2020-03-25",-46
"2020-03-24",-43
"2020-03-23",-36
"2020-03-22",-31
"2020-03-21",-27
"2020-03-20",-31
"2020-03-19",-29
"2020-03-18",-26
"2020-03-17",-23
"2020-03-16",-19
"2020-03-15",-9
"2020-03-14",-4
"2020-03-13",-2
"2020-03-12",-1
"2020-03-11",-1
"2020-03-10",0
"2020-03-09",1
"2020-03-08",1
"2020-03-07",1
"2020-03-06",2
"2020-03-05",1
"2020-03-04",1
"2020-03-03",1
"2020-03-02",1
"2020-03-01",2
"2020-02-29",1
"2020-02-28",1
"2020-02-27",1
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",2
"2020-02-22",1
"2020-02-21",1
"2020-02-20",2
"2020-02-19",0
"2020-02-18",0
"2020-02-17",-3
"2020-02-16",-46
