date,value
"2020-04-11",-44
"2020-04-10",-36
"2020-04-09",-41
"2020-04-08",-39
"2020-04-07",-38
"2020-04-06",-39
"2020-04-05",-39
"2020-04-04",-45
"2020-04-03",-41
"2020-04-02",-39
"2020-04-01",-34
"2020-03-31",-36
"2020-03-30",-34
"2020-03-29",-43
"2020-03-28",-48
"2020-03-27",-40
"2020-03-26",-40
"2020-03-25",-39
"2020-03-24",-41
"2020-03-23",-39
"2020-03-22",-45
"2020-03-21",-44
"2020-03-20",-37
"2020-03-19",-37
"2020-03-18",-34
"2020-03-17",-24
"2020-03-16",-8
"2020-03-15",-1
"2020-03-14",-5
"2020-03-13",4
"2020-03-12",7
"2020-03-11",7
"2020-03-10",6
"2020-03-09",2
"2020-03-08",9
"2020-03-07",16
"2020-03-06",13
"2020-03-05",8
"2020-03-04",6
"2020-03-03",9
"2020-03-02",7
"2020-03-01",11
"2020-02-29",18
"2020-02-28",13
"2020-02-27",10
"2020-02-26",6
"2020-02-25",5
"2020-02-24",-2
"2020-02-23",3
"2020-02-22",13
"2020-02-21",10
"2020-02-20",8
"2020-02-19",-1
"2020-02-18",-3
"2020-02-17",-3
"2020-02-16",-2
