date,value
"2020-04-11",-28
"2020-04-10",-46
"2020-04-09",-43
"2020-04-08",-41
"2020-04-07",-42
"2020-04-06",-39
"2020-04-05",-29
"2020-04-04",-25
"2020-04-03",-39
"2020-04-02",-40
"2020-04-01",-39
"2020-03-31",-40
"2020-03-30",-37
"2020-03-29",-29
"2020-03-28",-23
"2020-03-27",-35
"2020-03-26",-37
"2020-03-25",-36
"2020-03-24",-36
"2020-03-23",-32
"2020-03-22",-26
"2020-03-21",-18
"2020-03-20",-26
"2020-03-19",-29
"2020-03-18",-26
"2020-03-17",-23
"2020-03-16",-17
"2020-03-15",-6
"2020-03-14",0
"2020-03-13",0
"2020-03-12",0
"2020-03-11",2
"2020-03-10",2
"2020-03-09",2
"2020-03-08",4
"2020-03-07",5
"2020-03-06",6
"2020-03-05",4
"2020-03-04",3
"2020-03-03",3
"2020-03-02",3
"2020-03-01",5
"2020-02-29",5
"2020-02-28",4
"2020-02-27",4
"2020-02-26",3
"2020-02-25",3
"2020-02-24",2
"2020-02-23",4
"2020-02-22",5
"2020-02-21",4
"2020-02-20",3
"2020-02-19",1
"2020-02-18",3
"2020-02-17",0
"2020-02-16",-8
