date,value
"2020-04-11",0
"2020-04-10",-3
"2020-04-09",-4
"2020-04-08",-6
"2020-04-07",-6
"2020-04-06",-9
"2020-04-05",-14
"2020-04-04",-13
"2020-04-03",-9
"2020-04-02",-10
"2020-04-01",-8
"2020-03-31",-12
"2020-03-30",-14
"2020-03-29",-18
"2020-03-28",-17
"2020-03-27",-14
"2020-03-26",-10
"2020-03-25",6
"2020-03-24",1
"2020-03-23",1
"2020-03-22",1
"2020-03-21",4
"2020-03-20",10
"2020-03-19",12
"2020-03-18",16
"2020-03-17",21
"2020-03-16",29
"2020-03-15",27
"2020-03-14",26
"2020-03-13",31
"2020-03-12",27
"2020-03-11",17
"2020-03-10",14
"2020-03-09",12
"2020-03-08",12
"2020-03-07",11
"2020-03-06",9
"2020-03-05",11
"2020-03-04",14
"2020-03-03",14
"2020-03-02",13
"2020-03-01",12
"2020-02-29",13
"2020-02-28",8
"2020-02-27",7
"2020-02-26",8
"2020-02-25",7
"2020-02-24",5
"2020-02-23",5
"2020-02-22",7
"2020-02-21",6
"2020-02-20",2
"2020-02-19",3
"2020-02-18",3
"2020-02-17",3
"2020-02-16",4
