date,value
"2020-04-11",-46
"2020-04-10",-44
"2020-04-09",-44
"2020-04-08",-44
"2020-04-07",-41
"2020-04-06",-44
"2020-04-05",-50
"2020-04-04",-51
"2020-04-03",-43
"2020-04-02",-42
"2020-04-01",-41
"2020-03-31",-44
"2020-03-30",-43
"2020-03-29",-53
"2020-03-28",-53
"2020-03-27",-48
"2020-03-26",-47
"2020-03-25",-44
"2020-03-24",-46
"2020-03-23",-50
"2020-03-22",-61
"2020-03-21",-49
"2020-03-20",-36
"2020-03-19",-34
"2020-03-18",-34
"2020-03-17",-26
"2020-03-16",-14
"2020-03-15",-9
"2020-03-14",-8
"2020-03-13",1
"2020-03-12",6
"2020-03-11",6
"2020-03-10",6
"2020-03-09",3
"2020-03-08",7
"2020-03-07",15
"2020-03-06",10
"2020-03-05",6
"2020-03-04",8
"2020-03-03",9
"2020-03-02",9
"2020-03-01",11
"2020-02-29",16
"2020-02-28",12
"2020-02-27",6
"2020-02-26",4
"2020-02-25",0
"2020-02-24",0
"2020-02-23",3
"2020-02-22",11
"2020-02-21",9
"2020-02-20",2
"2020-02-19",0
"2020-02-18",1
"2020-02-17",1
"2020-02-16",2
