date,value
"2020-04-11",-46
"2020-04-10",-53
"2020-04-09",-55
"2020-04-08",-53
"2020-04-07",-50
"2020-04-06",-54
"2020-04-05",-52
"2020-04-04",-49
"2020-04-03",-49
"2020-04-02",-52
"2020-04-01",-50
"2020-03-31",-53
"2020-03-30",-54
"2020-03-29",-55
"2020-03-28",-50
"2020-03-27",-53
"2020-03-26",-55
"2020-03-25",-50
"2020-03-24",-52
"2020-03-23",-55
"2020-03-22",-54
"2020-03-21",-42
"2020-03-20",-41
"2020-03-19",-42
"2020-03-18",-40
"2020-03-17",-33
"2020-03-16",-28
"2020-03-15",-17
"2020-03-14",-9
"2020-03-13",-7
"2020-03-12",-5
"2020-03-11",-3
"2020-03-10",-2
"2020-03-09",-4
"2020-03-08",3
"2020-03-07",12
"2020-03-06",9
"2020-03-05",3
"2020-03-04",3
"2020-03-03",3
"2020-03-02",1
"2020-03-01",4
"2020-02-29",11
"2020-02-28",9
"2020-02-27",6
"2020-02-26",2
"2020-02-25",-1
"2020-02-24",-2
"2020-02-23",1
"2020-02-22",8
"2020-02-21",9
"2020-02-20",4
"2020-02-19",1
"2020-02-18",2
"2020-02-17",2
"2020-02-16",-12
