date,value
"2020-04-11",-2
"2020-04-10",-10
"2020-04-09",-9
"2020-04-08",-10
"2020-04-07",-9
"2020-04-06",-13
"2020-04-05",-17
"2020-04-04",-13
"2020-04-03",-9
"2020-04-02",-9
"2020-04-01",-12
"2020-03-31",-16
"2020-03-30",-17
"2020-03-29",-25
"2020-03-28",-21
"2020-03-27",-20
"2020-03-26",-18
"2020-03-25",-20
"2020-03-24",-4
"2020-03-23",2
"2020-03-22",-13
"2020-03-21",-1
"2020-03-20",8
"2020-03-19",13
"2020-03-18",9
"2020-03-17",14
"2020-03-16",23
"2020-03-15",17
"2020-03-14",14
"2020-03-13",23
"2020-03-12",25
"2020-03-11",15
"2020-03-10",8
"2020-03-09",6
"2020-03-08",9
"2020-03-07",13
"2020-03-06",7
"2020-03-05",4
"2020-03-04",8
"2020-03-03",9
"2020-03-02",8
"2020-03-01",7
"2020-02-29",12
"2020-02-28",8
"2020-02-27",2
"2020-02-26",1
"2020-02-25",-2
"2020-02-24",1
"2020-02-23",0
"2020-02-22",6
"2020-02-21",6
"2020-02-20",-2
"2020-02-19",0
"2020-02-18",0
"2020-02-17",-1
"2020-02-16",-3
