date,value
"2020-04-11",12
"2020-04-10",23
"2020-04-09",20
"2020-04-08",18
"2020-04-07",18
"2020-04-06",18
"2020-04-05",10
"2020-04-04",13
"2020-04-03",19
"2020-04-02",19
"2020-04-01",19
"2020-03-31",19
"2020-03-30",18
"2020-03-29",11
"2020-03-28",13
"2020-03-27",21
"2020-03-26",20
"2020-03-25",19
"2020-03-24",16
"2020-03-23",15
"2020-03-22",10
"2020-03-21",10
"2020-03-20",13
"2020-03-19",13
"2020-03-18",12
"2020-03-17",9
"2020-03-16",7
"2020-03-15",4
"2020-03-14",3
"2020-03-13",2
"2020-03-12",1
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-3
"2020-03-06",-2
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-2
"2020-02-28",-2
"2020-02-27",0
"2020-02-26",1
"2020-02-25",1
"2020-02-24",0
"2020-02-23",1
"2020-02-22",-2
"2020-02-21",-2
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",4
