date,value
"2020-04-11",-33
"2020-04-10",-52
"2020-04-09",-48
"2020-04-08",-48
"2020-04-07",-47
"2020-04-06",-46
"2020-04-05",-36
"2020-04-04",-32
"2020-04-03",-45
"2020-04-02",-46
"2020-04-01",-46
"2020-03-31",-45
"2020-03-30",-43
"2020-03-29",-34
"2020-03-28",-29
"2020-03-27",-42
"2020-03-26",-41
"2020-03-25",-40
"2020-03-24",-38
"2020-03-23",-35
"2020-03-22",-30
"2020-03-21",-23
"2020-03-20",-27
"2020-03-19",-27
"2020-03-18",-24
"2020-03-17",-20
"2020-03-16",-16
"2020-03-15",-10
"2020-03-14",-4
"2020-03-13",-3
"2020-03-12",-2
"2020-03-11",-1
"2020-03-10",0
"2020-03-09",1
"2020-03-08",1
"2020-03-07",2
"2020-03-06",3
"2020-03-05",1
"2020-03-04",2
"2020-03-03",2
"2020-03-02",3
"2020-03-01",2
"2020-02-29",3
"2020-02-28",3
"2020-02-27",1
"2020-02-26",0
"2020-02-25",2
"2020-02-24",2
"2020-02-23",2
"2020-02-22",2
"2020-02-21",4
"2020-02-20",2
"2020-02-19",1
"2020-02-18",2
"2020-02-17",1
"2020-02-16",-12
