date,value
"2020-04-11",16
"2020-04-10",28
"2020-04-09",28
"2020-04-08",26
"2020-04-07",25
"2020-04-06",23
"2020-04-05",14
"2020-04-04",16
"2020-04-03",29
"2020-04-02",27
"2020-04-01",25
"2020-03-31",25
"2020-03-30",24
"2020-03-29",16
"2020-03-28",15
"2020-03-27",25
"2020-03-26",25
"2020-03-25",26
"2020-03-24",24
"2020-03-23",22
"2020-03-22",13
"2020-03-21",12
"2020-03-20",19
"2020-03-19",21
"2020-03-18",18
"2020-03-17",17
"2020-03-16",13
"2020-03-15",7
"2020-03-14",4
"2020-03-13",6
"2020-03-12",5
"2020-03-11",2
"2020-03-10",1
"2020-03-09",0
"2020-03-08",0
"2020-03-07",0
"2020-03-06",0
"2020-03-05",0
"2020-03-04",0
"2020-03-03",0
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",-1
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",3
"2020-02-19",2
"2020-02-18",2
"2020-02-17",3
"2020-02-16",9
