date,value
"2020-04-11",-49
"2020-04-10",-50
"2020-04-09",-54
"2020-04-08",-51
"2020-04-07",-47
"2020-04-06",-44
"2020-04-05",-53
"2020-04-04",-53
"2020-04-03",-54
"2020-04-02",-50
"2020-04-01",-47
"2020-03-31",-46
"2020-03-30",-48
"2020-03-29",-59
"2020-03-28",-52
"2020-03-27",-48
"2020-03-26",-47
"2020-03-25",-52
"2020-03-24",-49
"2020-03-23",-42
"2020-03-22",-45
"2020-03-21",-43
"2020-03-20",-36
"2020-03-19",-38
"2020-03-18",-33
"2020-03-17",-31
"2020-03-16",-18
"2020-03-15",-14
"2020-03-14",-12
"2020-03-13",-7
"2020-03-12",1
"2020-03-11",5
"2020-03-10",5
"2020-03-09",7
"2020-03-08",9
"2020-03-07",8
"2020-03-06",5
"2020-03-05",4
"2020-03-04",6
"2020-03-03",7
"2020-03-02",9
"2020-03-01",8
"2020-02-29",10
"2020-02-28",8
"2020-02-27",5
"2020-02-26",4
"2020-02-25",4
"2020-02-24",2
"2020-02-23",5
"2020-02-22",8
"2020-02-21",5
"2020-02-20",0
"2020-02-19",3
"2020-02-18",3
"2020-02-17",-3
"2020-02-16",11
