date,value
"2020-04-11",-14
"2020-04-10",-21
"2020-04-09",-21
"2020-04-08",-20
"2020-04-07",-21
"2020-04-06",-22
"2020-04-05",-25
"2020-04-04",-22
"2020-04-03",-19
"2020-04-02",-21
"2020-04-01",-22
"2020-03-31",-29
"2020-03-30",-7
"2020-03-29",-25
"2020-03-28",-26
"2020-03-27",-19
"2020-03-26",-16
"2020-03-25",-24
"2020-03-24",-18
"2020-03-23",-15
"2020-03-22",-15
"2020-03-21",-6
"2020-03-20",0
"2020-03-19",1
"2020-03-18",1
"2020-03-17",3
"2020-03-16",13
"2020-03-15",6
"2020-03-14",7
"2020-03-13",16
"2020-03-12",19
"2020-03-11",12
"2020-03-10",5
"2020-03-09",5
"2020-03-08",6
"2020-03-07",6
"2020-03-06",3
"2020-03-05",2
"2020-03-04",5
"2020-03-03",5
"2020-03-02",4
"2020-03-01",3
"2020-02-29",5
"2020-02-28",2
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",-2
"2020-02-23",0
"2020-02-22",4
"2020-02-21",2
"2020-02-20",-3
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",-1
