date,value
"2020-04-11",15
"2020-04-10",28
"2020-04-09",26
"2020-04-08",24
"2020-04-07",24
"2020-04-06",24
"2020-04-05",14
"2020-04-04",16
"2020-04-03",26
"2020-04-02",25
"2020-04-01",25
"2020-03-31",25
"2020-03-30",21
"2020-03-29",13
"2020-03-28",16
"2020-03-27",23
"2020-03-26",22
"2020-03-25",24
"2020-03-24",21
"2020-03-23",21
"2020-03-22",13
"2020-03-21",12
"2020-03-20",17
"2020-03-19",17
"2020-03-18",16
"2020-03-17",14
"2020-03-16",11
"2020-03-15",7
"2020-03-14",4
"2020-03-13",3
"2020-03-12",2
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",0
"2020-03-05",0
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",0
"2020-02-26",0
"2020-02-25",0
"2020-02-24",0
"2020-02-23",0
"2020-02-22",-1
"2020-02-21",-1
"2020-02-20",0
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",8
