date,value
"2020-04-11",-16
"2020-04-10",-30
"2020-04-09",-25
"2020-04-08",24
"2020-04-07",36
"2020-04-06",40
"2020-04-05",20
"2020-04-04",13
"2020-04-03",-38
"2020-04-02",-42
"2020-04-01",-7
"2020-03-31",18
"2020-03-30",-23
"2020-03-29",-24
"2020-03-28",40
"2020-03-27",19
"2020-03-26",44
"2020-03-25",16
"2020-03-24",0
"2020-03-23",-6
"2020-03-22",43
"2020-03-21",39
"2020-03-20",7
"2020-03-19",-7
"2020-03-18",30
"2020-03-17",-2
"2020-03-16",4
"2020-03-15",31
"2020-03-14",25
"2020-03-13",-5
"2020-03-12",3
"2020-03-11",21
"2020-03-10",22
"2020-03-09",37
"2020-03-08",54
"2020-03-07",29
"2020-03-06",2
"2020-03-05",15
"2020-03-04",15
"2020-03-03",22
"2020-03-02",36
"2020-03-01",11
"2020-02-29",13
"2020-02-28",1
"2020-02-27",-3
"2020-02-26",-10
"2020-02-25",9
"2020-02-24",14
"2020-02-23",28
"2020-02-22",49
"2020-02-21",19
"2020-02-20",-1
"2020-02-19",5
"2020-02-18",4
"2020-02-17",-7
"2020-02-16",32
