date,value
"2020-04-11",-58
"2020-04-10",-57
"2020-04-09",-53
"2020-04-08",-49
"2020-04-07",-54
"2020-04-06",-52
"2020-04-05",-55
"2020-04-04",-60
"2020-04-03",-52
"2020-04-02",-49
"2020-04-01",-50
"2020-03-31",-53
"2020-03-30",-54
"2020-03-29",-58
"2020-03-28",-63
"2020-03-27",-58
"2020-03-26",-56
"2020-03-25",-54
"2020-03-24",-59
"2020-03-23",-37
"2020-03-22",-45
"2020-03-21",-46
"2020-03-20",-42
"2020-03-19",-36
"2020-03-18",-34
"2020-03-17",-30
"2020-03-16",-20
"2020-03-15",-13
"2020-03-14",-12
"2020-03-13",-8
"2020-03-12",2
"2020-03-11",7
"2020-03-10",9
"2020-03-09",8
"2020-03-08",12
"2020-03-07",16
"2020-03-06",8
"2020-03-05",5
"2020-03-04",11
"2020-03-03",11
"2020-03-02",11
"2020-03-01",12
"2020-02-29",16
"2020-02-28",9
"2020-02-27",2
"2020-02-26",-1
"2020-02-25",-5
"2020-02-24",3
"2020-02-23",3
"2020-02-22",11
"2020-02-21",8
"2020-02-20",-1
"2020-02-19",2
"2020-02-18",1
"2020-02-17",-2
"2020-02-16",1
