date,value
"2020-04-11",-51
"2020-04-10",-57
"2020-04-09",-56
"2020-04-08",-49
"2020-04-07",-54
"2020-04-06",-53
"2020-04-05",-53
"2020-04-04",-54
"2020-04-03",-49
"2020-04-02",-49
"2020-04-01",-49
"2020-03-31",-51
"2020-03-30",-55
"2020-03-29",-55
"2020-03-28",-56
"2020-03-27",-52
"2020-03-26",-51
"2020-03-25",-47
"2020-03-24",-50
"2020-03-23",-41
"2020-03-22",-40
"2020-03-21",-34
"2020-03-20",-32
"2020-03-19",-31
"2020-03-18",-25
"2020-03-17",-20
"2020-03-16",-17
"2020-03-15",-11
"2020-03-14",-6
"2020-03-13",-4
"2020-03-12",0
"2020-03-11",3
"2020-03-10",4
"2020-03-09",4
"2020-03-08",9
"2020-03-07",14
"2020-03-06",10
"2020-03-05",8
"2020-03-04",9
"2020-03-03",8
"2020-03-02",7
"2020-03-01",11
"2020-02-29",24
"2020-02-28",24
"2020-02-27",12
"2020-02-26",5
"2020-02-25",2
"2020-02-24",5
"2020-02-23",8
"2020-02-22",18
"2020-02-21",16
"2020-02-20",8
"2020-02-19",5
"2020-02-18",4
"2020-02-17",2
"2020-02-16",-2
