date,value
"2020-04-11",-2
"2020-04-10",-7
"2020-04-09",-14
"2020-04-08",-14
"2020-04-07",-13
"2020-04-06",-17
"2020-04-05",-18
"2020-04-04",-15
"2020-04-03",-22
"2020-04-02",-18
"2020-04-01",-15
"2020-03-31",-17
"2020-03-30",-20
"2020-03-29",-35
"2020-03-28",-38
"2020-03-27",-9
"2020-03-26",-6
"2020-03-25",-8
"2020-03-24",-14
"2020-03-23",-12
"2020-03-22",-17
"2020-03-21",-11
"2020-03-20",1
"2020-03-19",-4
"2020-03-18",0
"2020-03-17",11
"2020-03-16",19
"2020-03-15",19
"2020-03-14",16
"2020-03-13",18
"2020-03-12",16
"2020-03-11",10
"2020-03-10",5
"2020-03-09",4
"2020-03-08",7
"2020-03-07",10
"2020-03-06",7
"2020-03-05",3
"2020-03-04",2
"2020-03-03",6
"2020-03-02",6
"2020-03-01",6
"2020-02-29",9
"2020-02-28",5
"2020-02-27",3
"2020-02-26",2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",4
"2020-02-22",7
"2020-02-21",4
"2020-02-20",2
"2020-02-19",-2
"2020-02-18",-2
"2020-02-17",-1
"2020-02-16",-1
