date,value
"2020-04-11",-36
"2020-04-10",-54
"2020-04-09",-52
"2020-04-08",-51
"2020-04-07",-51
"2020-04-06",-50
"2020-04-05",-37
"2020-04-04",-35
"2020-04-03",-50
"2020-04-02",-51
"2020-04-01",-50
"2020-03-31",-50
"2020-03-30",-49
"2020-03-29",-38
"2020-03-28",-37
"2020-03-27",-43
"2020-03-26",-43
"2020-03-25",-43
"2020-03-24",-42
"2020-03-23",-40
"2020-03-22",-32
"2020-03-21",-26
"2020-03-20",-34
"2020-03-19",-35
"2020-03-18",-32
"2020-03-17",-26
"2020-03-16",-18
"2020-03-15",-8
"2020-03-14",-2
"2020-03-13",-4
"2020-03-12",-5
"2020-03-11",-3
"2020-03-10",-2
"2020-03-09",-2
"2020-03-08",0
"2020-03-07",2
"2020-03-06",1
"2020-03-05",0
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",3
"2020-02-29",5
"2020-02-28",4
"2020-02-27",2
"2020-02-26",2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",3
"2020-02-22",3
"2020-02-21",3
"2020-02-20",2
"2020-02-19",1
"2020-02-18",1
"2020-02-17",-2
"2020-02-16",-22
