date,value
"2020-04-11",-44
"2020-04-10",-34
"2020-04-09",-38
"2020-04-08",-34
"2020-04-07",-39
"2020-04-06",-43
"2020-04-05",-43
"2020-04-04",-48
"2020-04-03",-36
"2020-04-02",-36
"2020-04-01",-28
"2020-03-31",-33
"2020-03-30",-36
"2020-03-29",-38
"2020-03-28",-45
"2020-03-27",-37
"2020-03-26",-38
"2020-03-25",-33
"2020-03-24",-42
"2020-03-23",-34
"2020-03-22",-39
"2020-03-21",-37
"2020-03-20",-26
"2020-03-19",-24
"2020-03-18",-15
"2020-03-17",-11
"2020-03-16",-5
"2020-03-15",-2
"2020-03-14",-5
"2020-03-13",6
"2020-03-12",9
"2020-03-11",14
"2020-03-10",15
"2020-03-09",7
"2020-03-08",12
"2020-03-07",16
"2020-03-06",14
"2020-03-05",13
"2020-03-04",13
"2020-03-03",16
"2020-03-02",12
"2020-03-01",13
"2020-02-29",19
"2020-02-28",15
"2020-02-27",15
"2020-02-26",10
"2020-02-25",11
"2020-02-24",1
"2020-02-23",0
"2020-02-22",11
"2020-02-21",7
"2020-02-20",9
"2020-02-19",2
"2020-02-18",8
"2020-02-17",1
"2020-02-16",5
