date,value
"2020-04-11",11
"2020-04-10",19
"2020-04-09",17
"2020-04-08",16
"2020-04-07",17
"2020-04-06",15
"2020-04-05",11
"2020-04-04",13
"2020-04-03",16
"2020-04-02",14
"2020-04-01",13
"2020-03-31",15
"2020-03-30",13
"2020-03-29",9
"2020-03-28",9
"2020-03-27",14
"2020-03-26",13
"2020-03-25",13
"2020-03-24",13
"2020-03-23",12
"2020-03-22",10
"2020-03-21",9
"2020-03-20",11
"2020-03-19",9
"2020-03-18",7
"2020-03-17",6
"2020-03-16",4
"2020-03-15",2
"2020-03-14",0
"2020-03-13",1
"2020-03-12",1
"2020-03-11",0
"2020-03-10",0
"2020-03-09",1
"2020-03-08",-1
"2020-03-07",-3
"2020-03-06",-2
"2020-03-05",-2
"2020-03-04",0
"2020-03-03",0
"2020-03-02",-2
"2020-03-01",-2
"2020-02-29",-3
"2020-02-28",-3
"2020-02-27",-2
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",1
"2020-02-23",2
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",0
"2020-02-19",3
"2020-02-18",0
"2020-02-17",1
"2020-02-16",4
