date,value
"2020-04-11",-35
"2020-04-10",-32
"2020-04-09",-30
"2020-04-08",-31
"2020-04-07",-35
"2020-04-06",-33
"2020-04-05",-43
"2020-04-04",-47
"2020-04-03",-29
"2020-04-02",-22
"2020-04-01",-15
"2020-03-31",-24
"2020-03-30",-26
"2020-03-29",-32
"2020-03-28",-34
"2020-03-27",-30
"2020-03-26",-26
"2020-03-25",-24
"2020-03-24",-28
"2020-03-23",-26
"2020-03-22",-34
"2020-03-21",-31
"2020-03-20",-24
"2020-03-19",-15
"2020-03-18",-7
"2020-03-17",-3
"2020-03-16",2
"2020-03-15",2
"2020-03-14",3
"2020-03-13",4
"2020-03-12",11
"2020-03-11",15
"2020-03-10",16
"2020-03-09",14
"2020-03-08",14
"2020-03-07",15
"2020-03-06",12
"2020-03-05",13
"2020-03-04",14
"2020-03-03",16
"2020-03-02",20
"2020-03-01",19
"2020-02-29",22
"2020-02-28",19
"2020-02-27",16
"2020-02-26",19
"2020-02-25",19
"2020-02-24",8
"2020-02-23",2
"2020-02-22",4
"2020-02-21",5
"2020-02-20",1
"2020-02-19",-4
"2020-02-18",2
"2020-02-17",-2
"2020-02-16",2
