date,value
"2020-04-11",-11
"2020-04-10",-3
"2020-04-09",-6
"2020-04-08",-9
"2020-04-07",-11
"2020-04-06",-11
"2020-04-05",-17
"2020-04-04",-13
"2020-04-03",-10
"2020-04-02",-15
"2020-04-01",-18
"2020-03-31",-18
"2020-03-30",-19
"2020-03-29",-25
"2020-03-28",-25
"2020-03-27",6
"2020-03-26",3
"2020-03-25",-8
"2020-03-24",-6
"2020-03-23",-6
"2020-03-22",-7
"2020-03-21",0
"2020-03-20",5
"2020-03-19",3
"2020-03-18",4
"2020-03-17",13
"2020-03-16",25
"2020-03-15",16
"2020-03-14",12
"2020-03-13",17
"2020-03-12",17
"2020-03-11",12
"2020-03-10",8
"2020-03-09",7
"2020-03-08",7
"2020-03-07",8
"2020-03-06",8
"2020-03-05",9
"2020-03-04",9
"2020-03-03",8
"2020-03-02",7
"2020-03-01",7
"2020-02-29",9
"2020-02-28",7
"2020-02-27",5
"2020-02-26",3
"2020-02-25",3
"2020-02-24",1
"2020-02-23",1
"2020-02-22",5
"2020-02-21",5
"2020-02-20",1
"2020-02-19",1
"2020-02-18",1
"2020-02-17",-1
"2020-02-16",1
