date,value
"2020-04-11",15
"2020-04-10",16
"2020-04-09",14
"2020-04-08",15
"2020-04-07",15
"2020-04-06",14
"2020-04-05",9
"2020-04-04",12
"2020-04-03",19
"2020-04-02",18
"2020-04-01",18
"2020-03-31",17
"2020-03-30",14
"2020-03-29",10
"2020-03-28",13
"2020-03-27",15
"2020-03-26",14
"2020-03-25",14
"2020-03-24",13
"2020-03-23",11
"2020-03-22",7
"2020-03-21",8
"2020-03-20",12
"2020-03-19",12
"2020-03-18",10
"2020-03-17",8
"2020-03-16",5
"2020-03-15",4
"2020-03-14",4
"2020-03-13",3
"2020-03-12",0
"2020-03-11",0
"2020-03-10",-1
"2020-03-09",-1
"2020-03-08",0
"2020-03-07",-1
"2020-03-06",-1
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-2
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",0
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",1
"2020-02-16",5
