date,value
"2020-04-11",-39
"2020-04-10",-44
"2020-04-09",-43
"2020-04-08",-43
"2020-04-07",-43
"2020-04-06",-40
"2020-04-05",-36
"2020-04-04",-36
"2020-04-03",-42
"2020-04-02",-43
"2020-04-01",-44
"2020-03-31",-43
"2020-03-30",-40
"2020-03-29",-37
"2020-03-28",-36
"2020-03-27",-36
"2020-03-26",-36
"2020-03-25",-36
"2020-03-24",-35
"2020-03-23",-31
"2020-03-22",-29
"2020-03-21",-27
"2020-03-20",-28
"2020-03-19",-28
"2020-03-18",-26
"2020-03-17",-23
"2020-03-16",-18
"2020-03-15",-9
"2020-03-14",-6
"2020-03-13",-4
"2020-03-12",-1
"2020-03-11",1
"2020-03-10",1
"2020-03-09",2
"2020-03-08",3
"2020-03-07",2
"2020-03-06",2
"2020-03-05",2
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",4
"2020-02-29",4
"2020-02-28",1
"2020-02-27",1
"2020-02-26",2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",3
"2020-02-22",3
"2020-02-21",1
"2020-02-20",2
"2020-02-19",2
"2020-02-18",2
"2020-02-17",0
"2020-02-16",-23
