date,value
"2020-04-11",-35
"2020-04-10",-57
"2020-04-09",-47
"2020-04-08",-47
"2020-04-07",-45
"2020-04-06",-44
"2020-04-05",-38
"2020-04-04",-32
"2020-04-03",-43
"2020-04-02",-44
"2020-04-01",-45
"2020-03-31",-44
"2020-03-30",-41
"2020-03-29",-35
"2020-03-28",-29
"2020-03-27",-38
"2020-03-26",-38
"2020-03-25",-36
"2020-03-24",-34
"2020-03-23",-33
"2020-03-22",-29
"2020-03-21",-21
"2020-03-20",-26
"2020-03-19",-27
"2020-03-18",-25
"2020-03-17",-21
"2020-03-16",-16
"2020-03-15",-11
"2020-03-14",-3
"2020-03-13",-2
"2020-03-12",-2
"2020-03-11",-1
"2020-03-10",0
"2020-03-09",0
"2020-03-08",0
"2020-03-07",1
"2020-03-06",2
"2020-03-05",2
"2020-03-04",2
"2020-03-03",2
"2020-03-02",2
"2020-03-01",3
"2020-02-29",2
"2020-02-28",2
"2020-02-27",2
"2020-02-26",2
"2020-02-25",3
"2020-02-24",3
"2020-02-23",3
"2020-02-22",2
"2020-02-21",-1
"2020-02-20",-17
"2020-02-19",-5
"2020-02-18",2
"2020-02-17",1
"2020-02-16",-10
