date,value
"2020-04-11",-21
"2020-04-10",-21
"2020-04-09",-22
"2020-04-08",-20
"2020-04-07",-16
"2020-04-06",-21
"2020-04-05",-25
"2020-04-04",-22
"2020-04-03",-26
"2020-04-02",-23
"2020-04-01",-14
"2020-03-31",-13
"2020-03-30",-17
"2020-03-29",-18
"2020-03-28",-24
"2020-03-27",-19
"2020-03-26",-15
"2020-03-25",-13
"2020-03-24",-14
"2020-03-23",-17
"2020-03-22",-21
"2020-03-21",-11
"2020-03-20",-16
"2020-03-19",-21
"2020-03-18",-11
"2020-03-17",-3
"2020-03-16",-3
"2020-03-15",-5
"2020-03-14",-8
"2020-03-13",-3
"2020-03-12",5
"2020-03-11",8
"2020-03-10",6
"2020-03-09",1
"2020-03-08",7
"2020-03-07",14
"2020-03-06",14
"2020-03-05",11
"2020-03-04",8
"2020-03-03",5
"2020-03-02",2
"2020-03-01",5
"2020-02-29",10
"2020-02-28",10
"2020-02-27",10
"2020-02-26",7
"2020-02-25",5
"2020-02-24",1
"2020-02-23",4
"2020-02-22",7
"2020-02-21",8
"2020-02-20",6
"2020-02-19",3
"2020-02-18",-2
"2020-02-17",5
"2020-02-16",1
