date,value
"2020-04-11",-51
"2020-04-10",-58
"2020-04-09",-53
"2020-04-08",-47
"2020-04-07",-42
"2020-04-06",-45
"2020-04-05",-57
"2020-04-04",-50
"2020-04-03",-58
"2020-04-02",-50
"2020-04-01",-42
"2020-03-31",-41
"2020-03-30",-48
"2020-03-29",-63
"2020-03-28",-49
"2020-03-27",-47
"2020-03-26",-37
"2020-03-25",-36
"2020-03-24",-36
"2020-03-23",-38
"2020-03-22",-38
"2020-03-21",-32
"2020-03-20",-36
"2020-03-19",-32
"2020-03-18",-20
"2020-03-17",-15
"2020-03-16",-12
"2020-03-15",-9
"2020-03-14",-5
"2020-03-13",-10
"2020-03-12",-3
"2020-03-11",4
"2020-03-10",5
"2020-03-09",6
"2020-03-08",13
"2020-03-07",15
"2020-03-06",6
"2020-03-05",5
"2020-03-04",8
"2020-03-03",11
"2020-03-02",13
"2020-03-01",14
"2020-02-29",20
"2020-02-28",10
"2020-02-27",4
"2020-02-26",5
"2020-02-25",7
"2020-02-24",11
"2020-02-23",16
"2020-02-22",28
"2020-02-21",25
"2020-02-20",13
"2020-02-19",17
"2020-02-18",14
"2020-02-17",12
"2020-02-16",13
