date,value
"2020-04-11",-37
"2020-04-10",-51
"2020-04-09",-50
"2020-04-08",-50
"2020-04-07",-49
"2020-04-06",-48
"2020-04-05",-37
"2020-04-04",-36
"2020-04-03",-48
"2020-04-02",-48
"2020-04-01",-48
"2020-03-31",-47
"2020-03-30",-46
"2020-03-29",-38
"2020-03-28",-34
"2020-03-27",-42
"2020-03-26",-43
"2020-03-25",-43
"2020-03-24",-45
"2020-03-23",-40
"2020-03-22",-30
"2020-03-21",-25
"2020-03-20",-32
"2020-03-19",-33
"2020-03-18",-30
"2020-03-17",-26
"2020-03-16",-19
"2020-03-15",-7
"2020-03-14",-1
"2020-03-13",-2
"2020-03-12",-1
"2020-03-11",1
"2020-03-10",0
"2020-03-09",0
"2020-03-08",2
"2020-03-07",4
"2020-03-06",4
"2020-03-05",3
"2020-03-04",3
"2020-03-03",2
"2020-03-02",3
"2020-03-01",3
"2020-02-29",3
"2020-02-28",-2
"2020-02-27",-11
"2020-02-26",-11
"2020-02-25",-10
"2020-02-24",-10
"2020-02-23",-7
"2020-02-22",4
"2020-02-21",3
"2020-02-20",1
"2020-02-19",2
"2020-02-18",0
"2020-02-17",-2
"2020-02-16",-21
