date,value
"2020-04-11",-3
"2020-04-10",-8
"2020-04-09",-8
"2020-04-08",-7
"2020-04-07",-5
"2020-04-06",-2
"2020-04-05",-11
"2020-04-04",-2
"2020-04-03",0
"2020-04-02",-14
"2020-04-01",-20
"2020-03-31",-24
"2020-03-30",-25
"2020-03-29",-33
"2020-03-28",-32
"2020-03-27",-21
"2020-03-26",-20
"2020-03-25",-26
"2020-03-24",-19
"2020-03-23",-32
"2020-03-22",-31
"2020-03-21",-6
"2020-03-20",3
"2020-03-19",-2
"2020-03-18",0
"2020-03-17",3
"2020-03-16",14
"2020-03-15",10
"2020-03-14",12
"2020-03-13",23
"2020-03-12",26
"2020-03-11",17
"2020-03-10",11
"2020-03-09",9
"2020-03-08",7
"2020-03-07",7
"2020-03-06",5
"2020-03-05",4
"2020-03-04",8
"2020-03-03",7
"2020-03-02",6
"2020-03-01",5
"2020-02-29",3
"2020-02-28",2
"2020-02-27",1
"2020-02-26",1
"2020-02-25",0
"2020-02-24",-2
"2020-02-23",0
"2020-02-22",2
"2020-02-21",1
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",1
