date,value
"2020-04-11",-36
"2020-04-10",-50
"2020-04-09",-48
"2020-04-08",-47
"2020-04-07",-47
"2020-04-06",-45
"2020-04-05",-35
"2020-04-04",-34
"2020-04-03",-44
"2020-04-02",-47
"2020-04-01",-46
"2020-03-31",-45
"2020-03-30",-45
"2020-03-29",-34
"2020-03-28",-33
"2020-03-27",-43
"2020-03-26",-46
"2020-03-25",-45
"2020-03-24",-43
"2020-03-23",-37
"2020-03-22",-28
"2020-03-21",-24
"2020-03-20",-30
"2020-03-19",-33
"2020-03-18",-29
"2020-03-17",-26
"2020-03-16",-22
"2020-03-15",-10
"2020-03-14",-3
"2020-03-13",-5
"2020-03-12",-5
"2020-03-11",-1
"2020-03-10",1
"2020-03-09",1
"2020-03-08",2
"2020-03-07",3
"2020-03-06",4
"2020-03-05",4
"2020-03-04",2
"2020-03-03",3
"2020-03-02",3
"2020-03-01",4
"2020-02-29",4
"2020-02-28",3
"2020-02-27",4
"2020-02-26",2
"2020-02-25",3
"2020-02-24",3
"2020-02-23",3
"2020-02-22",1
"2020-02-21",1
"2020-02-20",4
"2020-02-19",1
"2020-02-18",3
"2020-02-17",1
"2020-02-16",-26
