date,value
"2020-04-11",-45
"2020-04-10",-44
"2020-04-09",-43
"2020-04-08",-43
"2020-04-07",-42
"2020-04-06",-43
"2020-04-05",-49
"2020-04-04",-48
"2020-04-03",-41
"2020-04-02",-40
"2020-04-01",-37
"2020-03-31",-37
"2020-03-30",-40
"2020-03-29",-47
"2020-03-28",-47
"2020-03-27",-43
"2020-03-26",-42
"2020-03-25",-41
"2020-03-24",-40
"2020-03-23",-41
"2020-03-22",-46
"2020-03-21",-46
"2020-03-20",-39
"2020-03-19",-36
"2020-03-18",-29
"2020-03-17",-16
"2020-03-16",-7
"2020-03-15",-6
"2020-03-14",-6
"2020-03-13",-1
"2020-03-12",2
"2020-03-11",4
"2020-03-10",3
"2020-03-09",3
"2020-03-08",4
"2020-03-07",3
"2020-03-06",2
"2020-03-05",4
"2020-03-04",6
"2020-03-03",7
"2020-03-02",8
"2020-03-01",6
"2020-02-29",7
"2020-02-28",7
"2020-02-27",6
"2020-02-26",8
"2020-02-25",8
"2020-02-24",5
"2020-02-23",4
"2020-02-22",4
"2020-02-21",0
"2020-02-20",3
"2020-02-19",3
"2020-02-18",1
"2020-02-17",2
"2020-02-16",5
