date,value
"2020-04-11",18
"2020-04-10",31
"2020-04-09",29
"2020-04-08",27
"2020-04-07",26
"2020-04-06",26
"2020-04-05",15
"2020-04-04",18
"2020-04-03",29
"2020-04-02",27
"2020-04-01",26
"2020-03-31",26
"2020-03-30",26
"2020-03-29",16
"2020-03-28",18
"2020-03-27",26
"2020-03-26",25
"2020-03-25",26
"2020-03-24",25
"2020-03-23",26
"2020-03-22",15
"2020-03-21",13
"2020-03-20",19
"2020-03-19",19
"2020-03-18",16
"2020-03-17",15
"2020-03-16",12
"2020-03-15",6
"2020-03-14",4
"2020-03-13",5
"2020-03-12",3
"2020-03-11",2
"2020-03-10",1
"2020-03-09",1
"2020-03-08",0
"2020-03-07",-1
"2020-03-06",0
"2020-03-05",0
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",0
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",0
"2020-02-27",1
"2020-02-26",1
"2020-02-25",0
"2020-02-24",0
"2020-02-23",-1
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",3
"2020-02-19",2
"2020-02-18",2
"2020-02-17",3
"2020-02-16",8
