date,value
"2020-04-11",82
"2020-04-10",15
"2020-04-09",11
"2020-04-08",99
"2020-04-07",71
"2020-04-06",80
"2020-04-05",37
"2020-04-04",136
"2020-04-03",109
"2020-04-02",89
"2020-04-01",31
"2020-03-31",9
"2020-03-30",4
"2020-03-29",117
"2020-03-28",31
"2020-03-27",26
"2020-03-26",98
"2020-03-25",101
"2020-03-24",21
"2020-03-23",0
"2020-03-22",52
"2020-03-21",14
"2020-03-20",39
"2020-03-19",22
"2020-03-18",5
"2020-03-17",20
"2020-03-16",19
"2020-03-15",36
"2020-03-14",22
"2020-03-13",33
"2020-03-12",49
"2020-03-11",35
"2020-03-10",18
"2020-03-09",48
"2020-03-08",134
"2020-03-07",128
"2020-03-06",40
"2020-03-05",28
"2020-03-04",42
"2020-03-03",27
"2020-03-02",12
"2020-03-01",19
"2020-02-29",50
"2020-02-28",11
"2020-02-27",3
"2020-02-26",-5
"2020-02-25",-2
"2020-02-24",2
"2020-02-23",14
"2020-02-22",76
"2020-02-21",61
"2020-02-20",17
"2020-02-19",3
"2020-02-18",13
"2020-02-17",6
"2020-02-16",10
