date,value
"2020-04-11",12
"2020-04-10",18
"2020-04-09",17
"2020-04-08",17
"2020-04-07",17
"2020-04-06",17
"2020-04-05",11
"2020-04-04",14
"2020-04-03",19
"2020-04-02",19
"2020-04-01",18
"2020-03-31",18
"2020-03-30",17
"2020-03-29",12
"2020-03-28",14
"2020-03-27",20
"2020-03-26",19
"2020-03-25",18
"2020-03-24",18
"2020-03-23",15
"2020-03-22",9
"2020-03-21",8
"2020-03-20",12
"2020-03-19",12
"2020-03-18",11
"2020-03-17",10
"2020-03-16",8
"2020-03-15",5
"2020-03-14",5
"2020-03-13",4
"2020-03-12",2
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",0
"2020-03-07",0
"2020-03-06",0
"2020-03-05",0
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",-1
"2020-02-23",-1
"2020-02-22",0
"2020-02-21",-2
"2020-02-20",-1
"2020-02-19",-1
"2020-02-18",-1
"2020-02-17",0
"2020-02-16",4
