date,value
"2020-04-11",-36
"2020-04-10",-49
"2020-04-09",-50
"2020-04-08",-49
"2020-04-07",-49
"2020-04-06",-48
"2020-04-05",-39
"2020-04-04",-37
"2020-04-03",-47
"2020-04-02",-49
"2020-04-01",-49
"2020-03-31",-49
"2020-03-30",-47
"2020-03-29",-38
"2020-03-28",-36
"2020-03-27",-47
"2020-03-26",-48
"2020-03-25",-48
"2020-03-24",-47
"2020-03-23",-42
"2020-03-22",-32
"2020-03-21",-26
"2020-03-20",-33
"2020-03-19",-35
"2020-03-18",-33
"2020-03-17",-30
"2020-03-16",-24
"2020-03-15",-13
"2020-03-14",-7
"2020-03-13",-6
"2020-03-12",-4
"2020-03-11",-1
"2020-03-10",0
"2020-03-09",1
"2020-03-08",1
"2020-03-07",2
"2020-03-06",2
"2020-03-05",1
"2020-03-04",1
"2020-03-03",1
"2020-03-02",2
"2020-03-01",3
"2020-02-29",3
"2020-02-28",3
"2020-02-27",2
"2020-02-26",1
"2020-02-25",2
"2020-02-24",2
"2020-02-23",3
"2020-02-22",2
"2020-02-21",3
"2020-02-20",3
"2020-02-19",1
"2020-02-18",1
"2020-02-17",-1
"2020-02-16",-25
