date,value
"2020-04-11",-57
"2020-04-10",-63
"2020-04-09",-68
"2020-04-08",-65
"2020-04-07",-60
"2020-04-06",-58
"2020-04-05",-59
"2020-04-04",-58
"2020-04-03",-64
"2020-04-02",-62
"2020-04-01",-59
"2020-03-31",-57
"2020-03-30",-62
"2020-03-29",-67
"2020-03-28",-55
"2020-03-27",-54
"2020-03-26",-55
"2020-03-25",-58
"2020-03-24",-55
"2020-03-23",-58
"2020-03-22",-52
"2020-03-21",-45
"2020-03-20",-46
"2020-03-19",-51
"2020-03-18",-44
"2020-03-17",-40
"2020-03-16",-35
"2020-03-15",-25
"2020-03-14",-17
"2020-03-13",-19
"2020-03-12",-14
"2020-03-11",-8
"2020-03-10",-7
"2020-03-09",-5
"2020-03-08",1
"2020-03-07",0
"2020-03-06",-2
"2020-03-05",1
"2020-03-04",1
"2020-03-03",0
"2020-03-02",1
"2020-03-01",3
"2020-02-29",8
"2020-02-28",6
"2020-02-27",6
"2020-02-26",3
"2020-02-25",4
"2020-02-24",4
"2020-02-23",4
"2020-02-22",7
"2020-02-21",4
"2020-02-20",-1
"2020-02-19",1
"2020-02-18",0
"2020-02-17",-4
"2020-02-16",-13
